                    	simple_wmemchr	__wmemchr_avx2	__wmemchr_avx2_rtm	__wmemchr_evex	__wmemchr_evex_rtm	__wmemchr_sse2
Length   19, position   18, alignment  2:	18.046	4.44981	4.81935	3.91571	3.91992	6.20068
Length   17, position   18, alignment  0:	13.0744	4.17743	4.66354	4.88005	4.36394	5.46579
Length   17, position   18, alignment  0:	13.1698	4.17801	4.77779	4.88358	4.84865	5.46118
Length   17, position   18, alignment  2:	12.7479	4.17679	5.06863	4.8485	4.84874	5.46782
Length   17, position   18, alignment  2:	11.7117	4.17677	4.78372	4.47835	4.76546	5.58612
Length   20, position   19, alignment  0:	14.6189	4.75639	5.36246	4.55692	4.81927	6.63741
Length   20, position   19, alignment  0:	18.5294	5.10913	5.70758	4.82875	4.78589	6.67729
Length   20, position   19, alignment  3:	18.4701	5.15598	5.70834	4.82762	4.78535	7.58839
Length   20, position   19, alignment  3:	17.7307	4.47566	5.02594	4.16873	4.22925	7.01921
Length   18, position   19, alignment  0:	13.8846	4.79391	5.30869	5.55725	5.51738	6.2186
Length   18, position   19, alignment  0:	13.8891	4.75375	5.51869	5.55231	5.80724	6.66818
Length   18, position   19, alignment  3:	14.9093	5.14449	5.70135	5.96376	5.92592	7.58913
Length   18, position   19, alignment  3:	14.9156	5.24442	6.27644	5.92595	5.57178	7.53926
Length   21, position   20, alignment  0:	16.9511	4.92618	5.66922	4.61505	4.61475	7.30363
Length   21, position   20, alignment  0:	16.6677	4.9666	5.50467	4.64572	4.6153	7.31183
Length   21, position   20, alignment  4:	16.6771	5.32289	5.84373	5.14429	6.00868	7.271
Length   21, position   20, alignment  4:	16.7162	5.68314	5.98149	4.96687	6.16792	7.01895
Length   19, position   20, alignment  0:	14.4443	4.79869	6.6134	5.57764	5.51781	6.21915
Length   19, position   20, alignment  0:	14.4341	4.7532	5.42447	5.59892	5.76025	6.3674
Length   19, position   20, alignment  4:	14.4342	4.78828	5.30704	5.56259	5.51712	6.21855
Length   19, position   20, alignment  4:	14.4433	4.75377	5.8308	5.51736	5.6752	6.39302
Length   22, position   21, alignment  0:	18.3538	4.92682	5.54491	4.61607	4.614	7.3158
Length   22, position   21, alignment  0:	19.2576	4.96399	5.50461	4.65816	4.61583	7.31963
Length   22, position   21, alignment  5:	19.4739	5.36591	7.56908	5.00876	6.4388	6.60817
Length   22, position   21, alignment  5:	18.321	5.11087	5.60284	5.04117	6.85291	7.30649
Length   20, position   21, alignment  0:	16.8316	4.91808	5.70157	5.96217	5.9261	5.97122
Length   20, position   21, alignment  0:	17.3352	4.9238	5.68349	5.71416	5.75092	5.71492
Length   20, position   21, alignment  5:	17.0947	5.71605	6.15575	6.39737	5.80045	7.54012
Length   20, position   21, alignment  5:	16.1365	5.73495	6.37531	5.9279	5.43283	7.58325
Length   23, position   22, alignment  0:	18.1184	4.92606	5.50595	4.65009	4.61427	7.31572
Length   23, position   22, alignment  0:	18.4974	4.96797	5.71548	4.65851	4.61504	7.31203
Length   23, position   22, alignment  6:	18.1834	5.25165	5.86972	5.14377	6.8983	8.0481
Length   23, position   22, alignment  6:	20.6896	5.48448	8.88857	5.37883	7.146	8.29724
Length   21, position   22, alignment  0:	18.5051	5.10558	5.9689	5.92613	5.97034	7.51445
Length   21, position   22, alignment  0:	16.4601	4.92383	5.71609	5.74818	5.71426	7.24031
Length   21, position   22, alignment  6:	15.5435	5.55794	8.27599	5.56407	6.61844	7.06468
Length   21, position   22, alignment  6:	17.1936	5.37445	5.89967	5.76601	5.28358	7.58086
Length   24, position   23, alignment  0:	21.5213	5.10884	5.70831	4.83052	4.78542	7.58607
Length   24, position   23, alignment  0:	19.2458	5.14961	5.70947	4.83015	4.78563	7.58061
Length   24, position   23, alignment  7:	20.5332	5.11128	5.60022	5.00485	6.61693	7.75935
Length   24, position   23, alignment  7:	20.0713	5.36229	8.71001	5.33472	5.87701	8.29745
Length   22, position   23, alignment  0:	18.6459	5.106	5.83907	5.9263	5.96664	7.53909
Length   22, position   23, alignment  0:	17.3259	5.10579	5.82872	5.9259	5.96976	7.54002
Length   22, position   23, alignment  7:	17.32	5.83041	7.23792	5.24107	7.04388	8.29749
Length   22, position   23, alignment  7:	17.3329	6.3551	6.39705	6.28564	6.90074	8.03392
Length   25, position   24, alignment  0:	21.1772	5.28625	5.79977	5.19011	6.85283	8.03767
Length   25, position   24, alignment  0:	19.5023	5.25174	5.79996	5.1819	5.14311	8.0377
Length   25, position   24, alignment  0:	19.5159	5.25241	8.04077	5.14384	6.89432	8.00018
Length   25, position   24, alignment  0:	19.6306	5.44627	6.05139	5.33438	7.15083	8.34253
Length   23, position   24, alignment  0:	17.8793	5.10518	5.75552	5.9261	5.97	7.57765
Length   23, position   24, alignment  0:	17.8794	5.106	5.94389	5.92603	5.97079	7.58328
Length   23, position   24, alignment  0:	19.6604	4.99956	5.49692	5.71423	5.7581	7.49922
Length   23, position   24, alignment  0:	19.6588	5.14267	5.70174	5.96313	5.92613	7.57419
Length   26, position   25, alignment  0:	22.591	5.44568	8.34097	5.33447	7.14587	8.29677
