                    	simple_memchr	__memchr_avx2	__memchr_avx2_rtm	__memchr_evex	__memchr_evex_rtm	__memchr_sse2
Length   19, position   18, alignment  2:	14.0333	3.91321	4.09679	2.58093	3.09685	4.66508
Length   19, position   18, alignment  2:	14.2094	4.12927	3.65089	3.09709	3.09691	4.25517
Length   17, position   18, alignment  0:	14.174	4.5714	4.57153	3.33499	2.85777	5.14413
Length   17, position   18, alignment  0:	13.8993	4.57146	4.57144	2.90855	3.42873	5.14404
Length   17, position   18, alignment  2:	13.8268	4.45833	3.31073	3.31062	3.35466	4.418
Length   17, position   18, alignment  2:	13.664	4.41414	4.24223	3.13687	3.09695	4.2836
Length   20, position   19, alignment  0:	14.8439	4.00011	3.92979	2.95433	2.42476	3.87999
Length   20, position   19, alignment  0:	13.6584	3.94305	3.09698	2.5809	3.09697	4.68687
Length   20, position   19, alignment  3:	15.1353	4.12918	4.16841	2.5809	3.09691	4.79872
Length   20, position   19, alignment  3:	17.1089	4.3268	3.25037	3.1965	3.31058	4.41542
Length   18, position   19, alignment  0:	13.9222	4.41386	4.56648	3.47005	2.85725	5.14368
Length   18, position   19, alignment  0:	14.8602	4.41391	4.4138	3.34891	3.3107	4.96675
Length   18, position   19, alignment  3:	14.0235	4.45461	3.25327	2.58093	3.09697	4.61516
Length   18, position   19, alignment  3:	13.1762	4.12909	3.89359	2.4245	2.90932	4.36459
Length   21, position   20, alignment  0:	15.3486	3.87877	3.87885	2.9541	2.90941	3.88033
Length   21, position   20, alignment  0:	14.623	3.92467	3.87892	2.90929	3.25482	4.45689
Length   21, position   20, alignment  4:	16.6336	4.44159	4.41389	3.31064	2.75935	5.00598
Length   21, position   20, alignment  4:	16.161	4.12903	3.29393	3.09702	3.09689	4.25755
Length   19, position   20, alignment  0:	13.9155	4.12885	3.09842	2.63031	3.097	4.646
Length   19, position   20, alignment  0:	14.4569	4.44496	4.2888	2.5809	3.136	5.15993
Length   19, position   20, alignment  4:	12.9349	3.87901	2.94994	3.09584	3.09695	4.13045
Length   19, position   20, alignment  4:	13.5883	4.12929	4.12907	3.097	3.13788	5.16139
Length   22, position   21, alignment  0:	15.805	4.44223	3.31206	2.7588	2.91013	4.94708
Length   22, position   21, alignment  0:	15.9982	4.16678	4.12912	2.5809	3.09685	4.67632
Length   22, position   21, alignment  5:	16.6418	4.17216	4.12906	3.09698	3.09698	4.47578
Length   22, position   21, alignment  5:	15.8035	3.87866	2.94019	2.42459	2.9093	3.99423
Length   20, position   21, alignment  0:	13.2373	3.90718	2.91078	2.42451	2.90936	4.81572
Length   20, position   21, alignment  0:	13.1615	3.81775	3.28038	2.85747	2.85789	5.71455
Length   20, position   21, alignment  5:	15.6894	4.57137	4.5714	3.47032	3.42865	4.5735
Length   20, position   21, alignment  5:	15.6488	4.57141	3.43037	3.14182	3.42882	5.14359
Length   23, position   22, alignment  0:	18.243	4.57124	4.43365	3.42897	3.4287	5.18378
Length   23, position   22, alignment  0:	18.6789	4.45189	4.52718	3.31071	2.60086	4.16653
Length   23, position   22, alignment  6:	16.6514	3.55569	3.2861	2.2225	2.66681	4.00012
