                    	simple_STRCHR	__strchr_avx2	__strchr_avx2_rtm	__strchr_evex	__strchr_sse2_no_bsf	__strchr_sse2
Length   13, alignment in bytes  0:	12.5263	2.2294	2.80725	2.26212	4.00044	2.2224
Length   13, alignment in bytes  0:	12.5237	2.3423	3.10368	2.22223	3.99994	2.36295
Length   14, alignment in bytes  0:	13.3102	2.45439	3.87872	2.42422	5.17029	2.42451
Length   14, alignment in bytes  0:	14.5746	2.42456	3.87862	2.45967	4.87837	2.58067
Length   15, alignment in bytes  0:	16.0397	2.5808	3.61317	2.58069	5.36018	2.58101
Length   15, alignment in bytes  0:	18.1743	2.63496	4.12889	2.58081	5.34953	2.58078
Length   16, alignment in bytes  0:	14.5372	2.58069	4.17297	2.58072	5.16359	4.4559
Length   16, alignment in bytes  0:	14.5377	2.54594	3.39391	2.46873	5.33363	3.99629
Length   17, alignment in bytes  0:	12.9684	2.26572	3.55527	2.22224	4.44507	3.97345
Length   17, alignment in bytes  0:	11.1951	2.22226	3.55525	2.22229	4.49796	3.78874
Length   18, alignment in bytes  0:	11.6403	2.22221	3.55527	2.2572	4.98256	3.80046
Length   18, alignment in bytes  0:	12.9173	2.26704	3.55528	2.22221	4.98126	4.00365
Length   19, alignment in bytes  0:	12.1314	2.22229	3.5553	2.22221	5.23576	3.80156
Length   19, alignment in bytes  0:	12.1101	2.22223	3.59819	2.22229	5.20886	3.87755
Length   20, alignment in bytes  0:	13.8121	2.22218	3.55519	2.22226	4.37373	3.96385
Length   20, alignment in bytes  0:	19.4292	7.29179	7.84216	6.11398	11.2358	6.59753
Length   21, alignment in bytes  0:	16.6965	2.85724	4.5247	2.85709	6.51257	4.88727
Length   21, alignment in bytes  0:	19.0662	2.7588	4.4136	2.75871	5.85106	4.1468
Length   22, alignment in bytes  0:	16.6176	2.42426	3.8786	2.42432	5.74104	4.14305
Length   22, alignment in bytes  0:	16.707	2.47165	3.39397	2.42439	5.74196	4.1422
Length   23, alignment in bytes  0:	13.9392	2.22227	3.59698	2.22211	5.44788	3.83128
Length   23, alignment in bytes  0:	15.2	2.22221	3.1111	2.22221	5.49092	3.79811
Length   24, alignment in bytes  0:	14.7424	2.53452	3.99968	2.50003	5.49281	4.14738
Length   24, alignment in bytes  0:	16.5586	2.58073	4.15594	2.58073	5.67731	4.45956
Length   25, alignment in bytes  0:	18.6193	2.61745	4.12885	2.58075	5.70961	4.40997
Length   25, alignment in bytes  0:	18.4681	2.54099	4.15921	5.2776	24.5612	24.6852
Length   26, alignment in bytes  0:	30.61	7.82195	8.64771	7.1315	25.166	25.1309
Length   26, alignment in bytes  0:	30.6529	8.00461	8.87721	6.91177	26.0885	25.1162
Length   27, alignment in bytes  0:	31.5638	8.39946	8.57022	6.83875	26.9041	24.7844
Length   27, alignment in bytes  0:	31.5061	7.86307	8.7372	7.21077	26.4074	24.9291
Length   28, alignment in bytes  0:	32.8073	6.85973	7.80981	5.97812	20.9226	22.1456
Length   28, alignment in bytes  0:	23.9347	2.28586	3.46368	2.28575	4.48456	3.83897
Length   29, alignment in bytes  0:	18.3495	2.22223	3.59566	2.22224	5.01997	3.80066
Length   29, alignment in bytes  0:	18.3539	2.22221	3.55533	2.26318	5.01762	3.79762
Length   30, alignment in bytes  0:	17.0234	2.22224	3.55522	2.22227	5.6282	3.79591
Length   30, alignment in bytes  0:	17.0091	2.22235	3.55536	2.22217	5.63173	3.797
Length   31, alignment in bytes  0:	18.037	2.25447	3.55534	2.22221	5.97292	3.80101
Length   31, alignment in bytes  0:	17.43	2.25211	3.55528	2.22223	5.93948	3.85255
