                    	simple_STRCHRNUL	__strchrnul_avx2	__strchrnul_avx2_rtm	__strchrnul_evex	__strchrnul_sse2
Length   10, alignment in bytes  0:	10.5449	2.75865	3.85683	2.80872	2.75873
Length   11, alignment in bytes  0:	11.3817	2.85681	3.42831	2.90021	2.85718
Length   11, alignment in bytes  0:	11.4972	2.78766	3.31024	2.88977	2.85718
Length   12, alignment in bytes  0:	12.0901	2.85687	3.54315	2.99782	2.95876
Length   12, alignment in bytes  0:	12.092	2.85732	3.3764	2.80066	2.75874
Length   13, alignment in bytes  0:	13.3073	2.5807	3.09683	2.66167	2.7588
Length   13, alignment in bytes  0:	13.8098	2.58064	3.09682	2.62486	2.75694
Length   14, alignment in bytes  0:	15.4829	2.75839	3.33823	2.7587	2.75874
Length   14, alignment in bytes  0:	15.0462	2.58067	3.61684	2.5808	2.58072
Length   15, alignment in bytes  0:	15.002	2.61169	3.09669	2.5808	2.58078
Length   15, alignment in bytes  0:	15.0405	2.58034	3.09697	2.5807	2.65135
Length   16, alignment in bytes  0:	12.224	2.80197	4.25746	2.85715	4.61089
Length   16, alignment in bytes  0:	12.6442	2.85709	3.42848	2.85724	4.61903
Length   17, alignment in bytes  0:	13.2329	2.85719	3.42879	2.89941	4.57288
Length   17, alignment in bytes  0:	13.2333	2.85718	3.75003	2.85701	4.57224
Length   18, alignment in bytes  0:	13.8888	2.89978	3.4285	2.85709	4.61423
Length   18, alignment in bytes  0:	13.8889	2.85716	3.42839	2.85721	4.61786
Length   19, alignment in bytes  0:	14.1446	2.75838	3.29738	2.62364	4.13043
Length   19, alignment in bytes  0:	12.9888	2.72559	3.34895	2.7588	4.41634
Length   20, alignment in bytes  0:	13.6944	2.6236	3.09689	2.58073	4.13077
Length   20, alignment in bytes  0:	13.5203	2.6109	3.09688	2.58064	4.13167
Length   21, alignment in bytes  0:	14.0534	2.58086	3.09665	2.58061	4.16342
Length   21, alignment in bytes  0:	14.0293	2.58067	3.09697	2.58072	4.16908
Length   22, alignment in bytes  0:	14.5447	2.58066	3.09654	2.61766	3.92821
Length   22, alignment in bytes  0:	13.4858	2.22234	3.14638	2.22206	3.63844
Length   23, alignment in bytes  0:	13.1087	2.22214	2.74434	2.22217	3.55737
Length   23, alignment in bytes  0:	12.967	2.22224	2.6666	2.26096	3.55809
Length   24, alignment in bytes  0:	14.56	2.49979	3.24806	2.42429	3.88
Length   24, alignment in bytes  0:	14.7841	2.46439	2.90913	2.42433	3.87953
Length   25, alignment in bytes  0:	16.8579	2.85709	3.42818	2.82524	4.70599
Length   25, alignment in bytes  0:	17.8167	2.90802	3.42863	2.85721	4.57211
Length   26, alignment in bytes  0:	18.4386	2.85698	3.42839	2.89853	4.57475
Length   26, alignment in bytes  0:	18.4498	2.85712	3.35324	2.75876	4.45126
Length   27, alignment in bytes  0:	17.0504	2.50003	3.04411	2.42424	4.36346
Length   27, alignment in bytes  0:	16.1733	2.55434	3.09674	2.58072	4.13007
Length   28, alignment in bytes  0:	17.6769	2.5806	3.09654	2.60927	4.13075
Length   28, alignment in bytes  0:	18.5549	2.80489	3.31039	2.75879	4.45778
Length   29, alignment in bytes  0:	19.2621	2.58083	3.1384	2.58055	4.13351
Length   29, alignment in bytes  0:	19.1091	2.75351	3.30446	2.75867	4.46045
Length   30, alignment in bytes  0:	19.9767	2.80121	3.31015	2.75859	4.46175
Length   30, alignment in bytes  0:	18.7831	2.58064	3.18132	2.58067	4.13062
Length   31, alignment in bytes  0:	19.2287	2.58054	3.09679	2.5806	4.17618
Length   31, alignment in bytes  0:	19.1605	2.42407	3.43243	2.42429	4.13457
