                       	strcasestr	simple_strcasestr
Length   22/2, alignment 15/ 3, found:	38.7266	57.1562
Length   22/2, alignment 15/ 3, fail:	38.1797	58.1562
Length   22/2, alignment 15/ 9, found:	38.4297	57.2578
Length   22/2, alignment 15/ 9, fail:	37.6797	58.1328
Length   22/2, alignment 15/15, found:	36.25	56.1328
Length   22/2, alignment 15/15, fail:	36.1406	57.0938
Length   24/2, alignment  0/ 0, found:	36.5781	60.2344
Length   24/2, alignment  0/ 0, fail:	36.0234	59.5938
Length   24/2, alignment  0/ 3, found:	36.6328	58.7969
Length   24/2, alignment  0/ 3, fail:	35.9219	60.7656
Length   24/2, alignment  0/ 9, found:	36.2422	59.3594
Length   24/2, alignment  0/ 9, fail:	35.5234	59.3047
Length   24/2, alignment  0/15, found:	39.3672	58.4375
Length   24/2, alignment  0/15, fail:	38.7578	60.3438
Length   24/2, alignment  3/ 0, found:	37.3125	59.6953
Length   24/2, alignment  3/ 0, fail:	35.4609	59.5938
Length   24/2, alignment  3/ 3, found:	37.8281	59.7031
Length   24/2, alignment  3/ 3, fail:	35.8984	59.8359
Length   24/2, alignment  3/ 9, found:	37.1797	59.2734
Length   24/2, alignment  3/ 9, fail:	34.9219	60.3438
Length   24/2, alignment  3/15, found:	38.2188	59.8359
Length   24/2, alignment  3/15, fail:	37.1016	59.8359
Length   24/2, alignment  9/ 0, found:	39.3438	59.2891
Length   24/2, alignment  9/ 0, fail:	36.1328	60.3281
Length   24/2, alignment  9/ 3, found:	36.1172	59.8203
Length   24/2, alignment  9/ 3, fail:	35.1953	60.3516
Length   24/2, alignment  9/ 9, found:	36.3438	59.8516
Length   24/2, alignment  9/ 9, fail:	35.8438	60.3281
Length   24/2, alignment  9/15, found:	37.7422	59.3359
Length   24/2, alignment  9/15, fail:	36.5781	60.3281
Length   24/2, alignment 15/ 0, found:	37.7422	59.3125
Length   24/2, alignment 15/ 0, fail:	35.3203	59.5156
Length   24/2, alignment 15/ 3, found:	37.9922	59.8281
Length   24/2, alignment 15/ 3, fail:	35.4922	60.3281
Length   24/2, alignment 15/ 9, found:	36.3125	59.8203
Length   24/2, alignment 15/ 9, fail:	37.1094	60.25
Length   24/2, alignment 15/15, found:	38.2578	63.3516
Length   24/2, alignment 15/15, fail:	33.3516	56.4453
Length   26/2, alignment  0/ 0, found:	36.7422	57.8672
Length   26/2, alignment  0/ 0, fail:	36.4375	58.0391
Length   26/2, alignment  0/ 3, found:	36.2109	56.2422
Length   26/2, alignment  0/ 3, fail:	36.0312	57.6328
Length   26/2, alignment  0/ 9, found:	36.8594	57.9375
Length   26/2, alignment  0/ 9, fail:	36.0938	58.4922
Length   26/2, alignment  0/15, found:	36.1719	58.0391
Length   26/2, alignment  0/15, fail:	34.9453	58
Length   26/2, alignment  3/ 0, found:	36.2734	58.4766
Length   26/2, alignment  3/ 0, fail:	34.8516	58.5156
Length   26/2, alignment  3/ 3, found:	35.0625	57.9766
Length   26/2, alignment  3/ 3, fail:	48.9141	58.625
Length   26/2, alignment  3/ 9, found:	35.0078	57.9922
Length   26/2, alignment  3/ 9, fail:	34.9531	58.5078
Length   26/2, alignment  3/15, found:	35.3984	58.0938
Length   26/2, alignment  3/15, fail:	35.9453	57.9688
Length   26/2, alignment  9/ 0, found:	35.4766	58.4922
Length   26/2, alignment  9/ 0, fail:	34.9844	57.6953
Length   26/2, alignment  9/ 3, found:	35.2969	58.0234
Length   26/2, alignment  9/ 3, fail:	35.9141	58.5312
Length   26/2, alignment  9/ 9, found:	36.8359	58.6406
Length   26/2, alignment  9/ 9, fail:	36.25	57.5547
Length   26/2, alignment  9/15, found:	37.4609	57.4844
Length   26/2, alignment  9/15, fail:	35.8984	58.5156
Length   26/2, alignment 15/ 0, found:	34.9531	57.9297
Length   26/2, alignment 15/ 0, fail:	36.9219	58.5469
Length   26/2, alignment 15/ 3, found:	37.0391	58.2734
Length   26/2, alignment 15/ 3, fail:	36.3984	59.5312
Length   26/2, alignment 15/ 9, found:	37.3125	59.3125
Length   26/2, alignment 15/ 9, fail:	36.3984	58.5469
Length   26/2, alignment 15/15, found:	37.2969	58.3281
Length   26/2, alignment 15/15, fail:	36.9141	58.5078
Length   28/2, alignment  0/ 0, found:	37.2969	59.0703
Length   28/2, alignment  0/ 0, fail:	35.4453	59.9844
Length   28/2, alignment  0/ 3, found:	36	59.0312
Length   28/2, alignment  0/ 3, fail:	37.0391	59.7109
Length   28/2, alignment  0/ 9, found:	36.0859	58.8047
Length   28/2, alignment  0/ 9, fail:	35.3203	59.7109
Length   28/2, alignment  0/15, found:	37.9141	58.6797
Length   28/2, alignment  0/15, fail:	35.875	60.875
Length   28/2, alignment  3/ 0, found:	35.8828	59.6719
Length   28/2, alignment  3/ 0, fail:	34.7969	61.2578
Length   28/2, alignment  3/ 3, found:	36.3906	60.1641
Length   28/2, alignment  3/ 3, fail:	34.9922	60.6953
Length   28/2, alignment  3/ 9, found:	36.1484	59.9609
Length   28/2, alignment  3/ 9, fail:	35.2344	60.8906
Length   28/2, alignment  3/15, found:	38.3672	59.7812
Length   28/2, alignment  3/15, fail:	37.2891	60.6172
Length   28/2, alignment  9/ 0, found:	37.9453	60.5703
Length   28/2, alignment  9/ 0, fail:	37.3125	60.5781
Length   28/2, alignment  9/ 3, found:	38.0078	59.5859
Length   28/2, alignment  9/ 3, fail:	37.2891	60.5703
Length   28/2, alignment  9/ 9, found:	38.2969	58.5781
Length   28/2, alignment  9/ 9, fail:	36.7969	59.5625
Length   28/2, alignment  9/15, found:	38.3281	60.0781
Length   28/2, alignment  9/15, fail:	36.7656	60.6016
Length   28/2, alignment 15/ 0, found:	38.0156	60.1172
Length   28/2, alignment 15/ 0, fail:	35.7891	60.5859
Length   28/2, alignment 15/ 3, found:	36.2734	60.0391
Length   28/2, alignment 15/ 3, fail:	35.7344	60.6641
Length   28/2, alignment 15/ 9, found:	35.9375	60.1094
Length   28/2, alignment 15/ 9, fail:	34.8906	60.6094
Length   28/2, alignment 15/15, found:	35.9453	59.8125
Length   28/2, alignment 15/15, fail:	34.7969	60.625
Length   30/2, alignment  0/ 0, found:	37.6406	61.2578
Length   30/2, alignment  0/ 0, fail:	36.7188	61.6719
Length   30/2, alignment  0/ 3, found:	37.2344	61.2109
Length   30/2, alignment  0/ 3, fail:	58.6875	71.2266
Length   30/2, alignment  0/ 9, found:	43.9297	62.3203
Length   30/2, alignment  0/ 9, fail:	40.9609	62.7031
Length   30/2, alignment  0/15, found:	43.4609	62.1953
Length   30/2, alignment  0/15, fail:	39.4219	62.1016
Length   30/2, alignment  3/ 0, found:	41.8672	62.6719
Length   30/2, alignment  3/ 0, fail:	39.8672	62.6797
Length   30/2, alignment  3/ 3, found:	39.7891	62.1641
Length   30/2, alignment  3/ 3, fail:	38.3594	62.6328
Length   30/2, alignment  3/ 9, found:	39.8906	62.2578
Length   30/2, alignment  3/ 9, fail:	38.8516	62.6016
Length   30/2, alignment  3/15, found:	40.3906	61.6406
Length   30/2, alignment  3/15, fail:	39.9141	62.7422
Length   30/2, alignment  9/ 0, found:	39.4453	62.2266
Length   30/2, alignment  9/ 0, fail:	38.8359	62.6797
Length   30/2, alignment  9/ 3, found:	40.5234	61.6484
Length   30/2, alignment  9/ 3, fail:	38.8203	62.6562
